﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1pPqVrG2RCHXx81Aw4xp99","Gravity Rides Everything","Modest Mouse","The Moon & Antarctica","1","2","259839","spotify:user:1162685727","2019-09-10T08:39:55Z"
"spotify:track:6xCBiZLbhAFAolDGkiinUF","Daily Battles","Thom Yorke, Flea","Daily Battles (From Motherless Brooklyn: Original Motion Picture Soundtrack)","1","1","173461","spotify:user:1162685727","2019-09-10T08:40:26Z"
"spotify:track:5IExVHUiRccCWyJ4imu9qD","#20","Aphex Twin","Selected Ambient Works Volume II","2","8","255333","spotify:user:1162685727","2019-09-23T09:34:43Z"
"spotify:track:3XJrdK0Okwfi7waIcUQkca","The Drummer","Niki & The Dove","Instinct","1","2","236680","spotify:user:1162685727","2019-09-23T09:34:51Z"
"spotify:track:1DXvEWgI1xoxmKv2Zd3pNE","UFOF","Big Thief","U.F.O.F.","1","2","188413","spotify:user:1162685727","2019-09-23T09:35:06Z"
