﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:15beQw4bH4fePS8oAE2Yef","Cue","YELLOW MAGIC ORCHESTRA","BGM","1","6","272840","spotify:user:1162685727","2019-02-04T12:07:54Z"
"spotify:track:3A7ByViji8709hWFd6Mzdb","DAWAN","Apparat","DAWAN","1","1","272879","spotify:user:1162685727","2019-02-04T12:08:09Z"
"spotify:track:7yMYqHqzye8vtyiHqdVlZw","Seventeen","Sharon Van Etten","Remind Me Tomorrow","1","6","265920","spotify:user:1162685727","2019-02-19T10:32:10Z"
"spotify:track:7iUDuiiVlGnK8Sg2FQ3MtP","A Caged Bird/Imitations of Life","The Cinematic Orchestra, Roots Manuva","A Promise","1","3","415085","spotify:user:1162685727","2019-02-27T10:51:33Z"
"spotify:track:5SGDA8nUjLwuWPbSM19sqA","Stag","Goat Mumbles","Stag","1","1","205011","spotify:user:1162685727","2019-02-27T10:51:47Z"
