﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:70pZIQqQ37SrNCADx0FiPN","Jet Black (feat. Brandy)","Anderson .Paak, Brandy","Ventura","1","9","208395","spotify:user:1162685727","2019-11-08T14:47:23Z"
"spotify:track:4ebGfveNsaTPvbmYrcYbM9","Laugh with Me","Paul White, Sarah Williams White","Rejuvenate","1","10","274053","spotify:user:1162685727","2019-11-08T14:47:31Z"
"spotify:track:3VK37XqepCdlh5Ba1QPD2e","Salty","KAZU","Adult Baby","1","1","307907","spotify:user:1162685727","2019-11-08T14:47:45Z"
"spotify:track:6wiMS3tjaqCt8xBOUfO8di","Spacer","Alan Braxe","Spacer","1","1","357466","spotify:user:1162685727","2019-11-27T10:41:58Z"
"spotify:track:0RMlPv9lkskpyEXQttMCOq","Got a Lotta Love","The Cactus Blossoms","Easy Way","1","4","182826","spotify:user:1162685727","2019-11-27T10:53:41Z"
