﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6ysRK6One7O5GiRVvrs0x1","He","Jai Paul","Do You Love Her Now / He","1","2","268000","spotify:user:1162685727","2019-06-11T08:28:44Z"
"spotify:track:5zmzse0TEG4GtlRrUBJOXK","Baby Forgive Me","Robyn","Honey","1","4","256377","spotify:user:1162685727","2019-06-11T13:38:02Z"
"spotify:track:6YKLlLoEYRujlAH8SgkTge","Old Bone - Jim-E Stack Remix","Wet, Jim-E Stack","Old Bone (Jim-E Stack Remix)","1","1","207786","spotify:user:1162685727","2019-06-11T15:02:14Z"
"spotify:track:2dqq3YMX6nlJKXhrjY5W4J","Kids In The Dark","Bat For Lashes","Kids In The Dark","1","1","208613","spotify:user:1162685727","2019-06-14T08:32:45Z"
"spotify:track:4JNCi8pelWu8lTG02yllPW","Super Cool (feat. Robyn & The Lonely Island)","Beck, Robyn, The Lonely Island","The LEGO Movie 2: The Second Part (Original Motion Picture Soundtrack)","1","8","203790","spotify:user:1162685727","2019-06-17T13:26:26Z"
