﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3PzsbWSQdLCKDLxn7YZfkM","I'm On Fire","Bruce Springsteen","Born In The U.S.A.","1","6","155880","spotify:user:1162685727","2019-01-15T11:55:20Z"
"spotify:track:5nfsjXvucqHZln51OwiWKn","Azo Toke","KOKOKO!","Azo Toke","1","1","235500","spotify:user:1162685727","2019-01-15T11:55:21Z"
"spotify:track:1Wmg5pfNyyZw02sIifksbW","Heaven's Basement (Theme From 86'd)","Neon Indian","Heaven's Basement (Theme From 86'd)","1","1","208247","spotify:user:1162685727","2019-01-15T12:37:10Z"
"spotify:track:07hOwFSoMe3NFioahHgmVs","Hexagonal Field","Julian Lynch","Hexagonal Field","1","1","307560","spotify:user:1162685727","2019-01-15T12:37:13Z"
"spotify:track:7Ky78y9gxAKlujRin3vzZf","Romance","Ex:Re","Ex:Re","1","4","403469","spotify:user:1162685727","2019-02-04T12:07:27Z"
