﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6wIwQaux8ooqB7nDGBfPuv","Bright Horses","Nick Cave & The Bad Seeds","Ghosteen","1","2","292536","spotify:user:1162685727","2019-10-16T11:15:20Z"
"spotify:track:1ebfZq2He2Up4vyqQRSa3i","Seven Veils","Elbow","Giants of All Sizes","1","2","276466","spotify:user:1162685727","2019-10-14T08:56:21Z"
"spotify:track:1VI9SmOT7orAFSoMUk0aE4","Suddenly We Looked Like Giants","Patrick Jonsson","Suddenly We Looked Like Giants","1","1","371589","spotify:user:1162685727","2019-10-07T08:57:31Z"
"spotify:track:30Ih2VLYmGIWameeQeyaDr","Eat, Sleep, Wake (Nothing But You) - Single Version","Bombay Bicycle Club","Eat, Sleep, Wake (Nothing But You)","1","1","218493","spotify:user:1162685727","2019-10-22T12:59:05Z"
"spotify:track:2jmuznDHH1QEun6UZbIeie","Home","Caribou","Home","1","1","156293","spotify:user:1162685727","2019-10-22T12:59:07Z"
