﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3KkXRkHbMCARz0aVfEt68P","Sunflower - Spider-Man: Into the Spider-Verse","Post Malone, Swae Lee","Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)","1","2","158040","spotify:user:1162685727","2019-05-08T13:51:39Z"
"spotify:track:6Oj1vBGXiFIOlwzAWrfqAI","What Does It Take","Miljon","What Does It Take","1","1","312877","spotify:user:1162685727","2019-05-08T13:56:50Z"
"spotify:track:4ieOPeANKdCvtHnNGWW2BL","White Flowers","Tom Demac, Real Lies","White Flowers","1","1","476434","spotify:user:1162685727","2019-05-24T09:10:23Z"
"spotify:track:0Mezqa4Em7Z5g56g3TSm7V","Lost Without","Kindness, Seinabo Sey","Lost Without","1","1","259079","spotify:user:1162685727","2019-05-27T22:49:08Z"
"spotify:track:32JdLIFho9kfeUzUhaWpMS","Songs of Love","The Divine Comedy","Casanova","1","6","206200","spotify:user:1162685727","2019-05-27T22:49:43Z"
