﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6RDiDCAraT3tr31FtWi3C7","Turned Out I Was Everyone","SASAMI","SASAMI","1","10","299213","spotify:user:1162685727","2020-01-13T14:38:07Z"
"spotify:track:2EEinN4Zk8MUv4OQuLsTBj","Age of Consent - 2015 Remaster","New Order","Power Corruption and Lies","1","1","315333","spotify:user:1162685727","2020-01-13T14:38:33Z"
"spotify:track:7tNzSvipxHL4M6pKtv8CNw","Golden Chords","Deakin","Sleep Cycle","1","1","386898","spotify:user:1162685727","2020-02-03T10:55:52Z"
"spotify:track:3MSRmDOU1SGSQn3Dn8qoel","Hummed Low","Odessa","Odessa","1","3","215173","spotify:user:1162685727","2020-02-03T11:11:16Z"
"spotify:track:41cpvQ2GyGb2BRdIRSsTqK","Moon River","Frank Ocean","Moon River","1","1","188323","spotify:user:1162685727","2020-01-28T14:48:01Z"
