﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5DJOFkjFtAseLThAEGWuE0","Arcaibh","Nathan Fake","Sunder","1","2","473269","spotify:user:1162685727","2018-03-07T18:22:27Z"
"spotify:track:5qCDqDY9emo1Sp6CZCFnB9","For You - DJ Koze Mbira Remix","Michael Mayer, Joe Goddard, DJ Koze","For You (DJ Koze Mbira Remix)","1","1","269032","spotify:user:1162685727","2018-03-07T18:22:29Z"
"spotify:track:59v1okflZrEkeb9JrxfJvX","I Won't Hurt You","The West Coast Pop Art Experimental Band","Part One","1","2","144440","spotify:user:1162685727","2018-03-09T17:11:56Z"
"spotify:track:2ORzpXfnI75Tvtx06z4FdZ","Turn","Young Fathers","Cocoa Sugar","1","4","216591","spotify:user:1162685727","2018-03-12T14:29:43Z"
"spotify:track:4q650OiSDQIwccxDFpuuBm","Flim","Aphex Twin","Come To Daddy","1","2","177093","spotify:user:1162685727","2018-03-21T10:56:32Z"
