﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5ClqcvP4dYDDX6Zv3jPQD1","Saturdays (feat. HAIM)","Twin Shadow, HAIM","Caer","1","2","205442","spotify:user:1162685727","2018-06-07T14:21:37Z"
"spotify:track:4KmylOc7EVRfTfy6OImJPX","Chateau Lobby #4 (in C for Two Virgins)","Father John Misty","I Love You, Honeybear","1","2","170840","spotify:user:1162685727","2018-06-07T14:22:09Z"
"spotify:track:1i1ofxObE2LhvDk6mmm3Fo","Take A Chance.","Phony Ppl","Yesterday's Tomorrow","1","10","246973","spotify:user:1162685727","2018-06-07T14:48:39Z"
"spotify:track:01ioripwTBirIEDAt94kwA","Where Your Mind Wants To Go","Blonde Redhead, Ludovico Einaudi","Where Your Mind Wants To Go (feat. Ludovico Einaudi)","1","1","388892","spotify:user:1162685727","2018-06-26T15:30:20Z"
"spotify:track:54IL47Tmp2MAVABIdf6eMF","Hang On Me","St. Vincent","MASSEDUCTION","1","1","168786","spotify:user:1162685727","2018-06-26T16:05:19Z"
