﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1ddJvESVQKDTsFEXyvBYen","Doesn't matter (voleur de soleil)","Christine and the Queens","Doesn't matter","1","2","263946","spotify:user:1162685727","2018-07-16T08:20:20Z"
"spotify:track:4j3GWI86JvSaF0BLdmgcfF","Summertime Magic","Childish Gambino","Summer Pack","1","1","213600","spotify:user:1162685727","2018-07-16T08:20:24Z"
"spotify:track:52ow26TAzztW3qXqonPjy3","Sympathy (feat. Rainsford) - Hank Solo Remix","Twin Shadow, Rainsford, Hank Solo","Sympathy (feat. Rainsford) [Hank Solo Remix]","1","1","191391","spotify:user:1162685727","2018-07-16T08:20:30Z"
"spotify:track:0c2P3vSHggChH3lJgJOSRx","You Want It, I Got It","Cut Chemist, Hymnal","Die Cut","1","11","252202","spotify:user:1162685727","2018-07-26T14:07:41Z"
"spotify:track:6ziUdIRzZgeraVp3eW03rF","Little Dreamer","Future Islands","Wave Like Home","1","9","237360","spotify:user:1162685727","2018-08-01T08:50:25Z"
