﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6hzpb3FneVmw0DO0mq7F5h","Tree Strings","Jonny Greenwood","You Were Never Really Here (Original Motion Picture Soundtrack)","1","14","310813","spotify:user:1162685727","2019-01-02T10:41:41Z"
"spotify:track:3Cs3xZgZCL2vRwKTBnoAG8","Unmade","Thom Yorke","Suspiria (Music for the Luca Guadagnino Film)","1","13","267454","spotify:user:1162685727","2019-01-02T10:41:31Z"
"spotify:track:4k0yGaoqXhgullRYj2Y2S0","Strange Is Better","CHINAH","ANYONE","1","3","239174","spotify:user:1162685727","2018-12-06T12:12:28Z"
"spotify:track:19QVXLLwMiIHAGjZHIWmDP","Human Being","Robyn, Zhala","Honey","1","2","226367","spotify:user:1162685727","2018-12-06T12:20:14Z"
"spotify:track:5uAeOP6IquajoF7l7eFC5Q","Merry Muthafuckin' Xmas","Eazy-E","Merry Muthafuckin’ X-Mas","1","1","352171","spotify:user:1162685727","2019-01-02T10:41:37Z"
