﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0Pw6Gg8QChw5iSRRSrcWXP","Opps (with Yugen Blakrok)","Vince Staples, Yugen Blakrok","Black Panther The Album Music From And Inspired By","1","5","180893","spotify:user:1162685727","2018-02-14T13:33:44Z"
"spotify:track:3Tt9CEnGYd69ZrUGpiTe2Z","Get It (feat. Missy Elliott & Kelly Rowland)","Busta Rhymes, Missy Elliott, Kelly Rowland","Get It (feat. Missy Elliott & Kelly Rowland)","1","1","185018","spotify:user:1162685727","2018-02-14T13:33:44Z"
"spotify:track:3agHWxIBafw8FMXURgr5MN","She's Mine","Alex Cameron","Jumping the Shark","1","5","202000","spotify:user:1162685727","2018-02-06T09:56:51Z"
"spotify:track:3H1L1Rnofcx9ecitcrRaNN","If The Car Beside You Moves Ahead","James Blake","If The Car Beside You Moves Ahead","1","1","262602","spotify:user:1162685727","2018-02-06T10:08:41Z"
"spotify:track:1sQJKC3jQkuMX1wvMgKcdE","English Rose","The Jam","All Mod Cons (Remastered Version)","1","5","169333","spotify:user:1162685727","2018-02-14T13:33:44Z"
