﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0jvWxvsLvb8lQCYbutGQld","City Reprise #12","The War On Drugs","Slave Ambient","1","9","185880","spotify:user:1162685727","2017-10-09T14:07:55Z"
"spotify:track:5DDihRvZ5urXNvocKfBUiA","Origin Myth","Hiatus","Crow / Origin Myth","1","2","283312","spotify:user:1162685727","2017-10-25T08:18:36Z"
"spotify:track:2BEuUkh9r8NCYiVvSKZIol","The Revolution Will Not Be Televised","Gil Scott-Heron","The Revolution Begins: The Flying Dutchman Masters","1","4","187360","spotify:user:1162685727","2017-10-27T10:40:47Z"
"spotify:track:0sj2jVLjaomVaFAJZqSZI9","Be Somebody","Clams Casino, A$AP Rocky, Lil B","32 Levels (Deluxe)","1","2","212466","spotify:user:1162685727","2017-10-25T08:18:52Z"
"spotify:track:29CQl42Yv6jBUrVgbq35jr","The Pure and the Damned","Oneohtrix Point Never, Iggy Pop","The Pure and the Damned","1","1","269461","spotify:user:1162685727","2017-10-05T10:49:12Z"
