﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1p2TWJxUlHE5JR0sE6E1d7","Best to You","Blood Orange","Freetown Sound","1","4","225747","spotify:user:1162685727","2017-04-27T08:18:36Z"
"spotify:track:21gusGqyiEnCKLeYUCIAJr","Ogre","Richard Dawson","Ogre","1","1","416200","spotify:user:1162685727","2017-05-10T14:00:26Z"
"spotify:track:5pXVT8Ev8ICTv1bQzMTCKr","Kick Jump Twist","Sylvan Esso","What Now","1","5","263226","spotify:user:1162685727","2017-05-19T08:34:47Z"
"spotify:track:4XTDrdHrnkUXDOX5h4HUw5","Behind The Scenes - Single Mix","DJ Format, Abdominal","Behind The Scenes","1","1","206939","spotify:user:1162685727","2017-05-25T07:51:44Z"
"spotify:track:4C7F5zCFfppYauKHjKpC34","Floating Spit","Perfume Genius","Put Your Back N 2 It","1","11","194693","spotify:user:1162685727","2017-05-30T10:27:41Z"
