﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3YF74YQR50MhfN1g5JZJ6k","Dawn","RY X","Dawn","1","1","116862","spotify:user:1162685727","2017-01-13T09:22:06Z"
"spotify:track:066zBDcIBXPPkuydTbVYo1","Silk","Wolf Alice","My Love Is Cool (Deluxe)","1","6","243986","spotify:user:1162685727","2017-01-30T12:37:53Z"
"spotify:track:69HBEwG8ZZ395axJcDXfcS","Sweetest Kill","Broken Social Scene","Forgiveness Rock Record","1","11","309306","spotify:user:1162685727","2017-01-06T10:53:14Z"
"spotify:track:728zbo72kOoYdGR3AhNsyF","Say Something Loving","The xx","I See You","1","2","238373","spotify:user:1162685727","2017-01-16T15:13:30Z"
"spotify:track:4hDwb5DvuKq3UMSVMnjXVk","Love & Hate","Michael Kiwanuka","Love & Hate","1","1","426602","spotify:user:1162685727","2017-02-01T14:16:33Z"
