﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3Fj8OLFuxg0UetSHTeFBh6","Natural Blue","Julie Byrne","Natural Blue","1","1","239046","spotify:user:1162685727","2017-02-02T09:47:16Z"
"spotify:track:7vmLW0qZn0vBgH6WN7ZAnC","Only God Knows","Young Fathers, Leith Congregational Choir","Only God Knows","1","1","231750","spotify:user:1162685727","2017-02-07T10:09:47Z"
"spotify:track:2xyO2w239DYYr4AI6S5292","Feel It","Georgia","Feel It","1","1","228490","spotify:user:1162685727","2017-03-07T11:46:41Z"
"spotify:track:7pGSGnFvgsgyBQlsbsC3bi","The Stall","Warpaint","Heads Up","1","4","295666","spotify:user:1162685727","2017-03-07T11:48:14Z"
"spotify:track:7630alXL5HfQAHQhBam5pJ","Civilian","Wye Oak","Civilian","1","5","220917","spotify:user:1162685727","2017-03-07T11:48:28Z"
