﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4eABb1b3AxtloEefrlDNDC","Quiet Dog","Mos Def","The Ecstatic","1","6","177000","spotify:user:1162685727","2017-08-14T15:14:53Z"
"spotify:track:7aOSQPoGs2MGo87Y3aQZiH","Birding","Swet Shop Boys","Sufi La","1","5","183686","spotify:user:1162685727","2017-08-29T12:43:23Z"
"spotify:track:2n5A1FNTftsrrpu1KifXT3","Rights & Wrongs","Oddisee, Olivier St.Louis","The Iceberg","1","12","238631","spotify:user:1162685727","2017-08-29T12:45:34Z"
"spotify:track:65wx71brAmEQz66GXXF8gI","Sound & Color","Alabama Shakes","Sound & Color","1","1","182466","spotify:user:1162685727","2017-08-29T12:44:18Z"
"spotify:track:0BP2o4rGe7nkQea1JOWMbl","We Don't Deserve Love","Arcade Fire","Everything Now","1","12","389080","spotify:user:1162685727","2017-07-31T09:03:07Z"
