﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2B1xYWXUccOhYqXIfn0zvz","Champagne Coast","Blood Orange","Suol Mates : Till von Sein","1","13","292373","spotify:user:1162685727","2017-04-03T08:48:50Z"
"spotify:track:6G1bzI3sWJWGfD8f0CH5gP","Moon In Your Mouth","Goldfrapp","Silver Eye","1","9","243296","spotify:user:1162685727","2017-04-03T08:48:52Z"
"spotify:track:0PEXp5yk0sx9dJ8JzwvjJb","Multi-Love","Unknown Mortal Orchestra","Multi-Love","1","1","250800","spotify:user:1162685727","2017-04-03T08:49:13Z"
"spotify:track:5gEzjKLS1ggO5cULx3eK87","Beautiful People","Mark Pritchard, Thom Yorke","Under The Sun","1","5","362051","spotify:user:1162685727","2017-04-27T08:18:49Z"
"spotify:track:7shyK83Q7gKH8DagxwdLZf","The Spoils","Massive Attack, Hope Sandoval","The Spoils","1","1","345691","spotify:user:1162685727","2017-04-27T08:19:12Z"
