﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:07Ugv4TA7PvQfoqetnmLrS","Everything Now","Arcade Fire","Everything Now","1","1","303013","spotify:user:1162685727","2017-06-02T05:55:47Z"
"spotify:track:2dWg1rSTGR6Gg91pIJVsPN","Lark","Au Revoir Simone","The Bird Of Music","1","10","259813","spotify:user:1162685727","2017-06-06T20:30:57Z"
"spotify:track:7q7BSSkNiuZyLgekXgRX13","Mississippi","The Cactus Blossoms","You’re Dreaming","1","5","240933","spotify:user:1162685727","2017-06-13T09:16:49Z"
"spotify:track:7pM9cLbrgRGX1hHElTX92m","Acid Rain","Lorn","The Maze To Nowhere","1","7","172473","spotify:user:1162685727","2017-06-15T13:25:06Z"
"spotify:track:1cbl0rLhwJZCBVE9nHFe19","American Wedding","Gogol Bordello","Super Taranta!","1","13","217800","spotify:user:1162685727","2017-06-27T09:21:10Z"
