﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4ECOvnBBOpMok5H9fiyS96","Neat Neat Neat","The Damned","Damned Damned Damned (30th Anniversary Expanded Edition)","1","1","161573","spotify:user:1162685727","2017-07-03T11:25:01Z"
"spotify:track:0M1CyBWblWSkeh0UdYH8pn","Happy House","Siouxsie and the Banshees","Kaleidoscope (Remastered & Expanded)","1","1","231706","spotify:user:1162685727","2017-07-03T11:25:27Z"
"spotify:track:64or0cWQwoPDdLRYXjvJbG","Creature Comfort","Arcade Fire","Creature Comfort","1","1","283506","spotify:user:1162685727","2017-07-20T13:52:55Z"
"spotify:track:4Y2A1FXK4QEAXioqlZkzRU","Hug Of Thunder","Broken Social Scene","Hug Of Thunder","1","1","294920","spotify:user:1162685727","2017-07-31T10:39:33Z"
"spotify:track:0quePggXh4laqHzk7Jh8N8","The Case of Louis Warren","Luke Temple","A Hand Through the Cellar Door","1","5","465173","spotify:user:1162685727","2017-07-28T15:33:23Z"
