﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1TVd8FHpeg1Afa92kaO0kR","Petals","Bibio","A Mineral Love","1","1","152333","spotify:user:1162685727","2017-03-07T11:49:00Z"
"spotify:track:1ZwJe0D07Ld49GtSj9rI4P","Radio Silence","James Blake","The Colour In Anything","1","1","240536","spotify:user:1162685727","2017-03-21T14:26:00Z"
"spotify:track:4hxxF2LVp9ZRNc887Mp1DT","Forbidden Knowledge","Raury, Big K.R.I.T.","All We Need","1","3","242600","spotify:user:1162685727","2017-03-21T14:26:02Z"
"spotify:track:0xrH6lKrLCoiO4g8xbjRpw","Cowboys or Indians","UNKLE, Ysée, Mink, Elliott Power","Cowboys or Indians","1","1","520933","spotify:user:1162685727","2017-03-27T09:21:37Z"
"spotify:track:2b4SSorCTQ2VzmllaeWuuT","YOU'RE THE ONE","KAYTRANADA, Syd","99.9%","1","11","227706","spotify:user:1162685727","2017-03-28T08:56:30Z"
