﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3ZQxpNoHJYrH9TegjMzl15","Omnion (feat. Sharon Van Etten)","Hercules & Love Affair, Sharon Van Etten","Omnion","1","1","294195","spotify:user:1162685727","2017-11-13T17:07:40Z"
"spotify:track:0NIjAOYL9SaUnrwiqlLNpQ","Fevers Worse","Young Fathers","Fevers Worse","1","1","140013","spotify:user:1162685727","2017-11-13T17:07:42Z"
"spotify:track:4nuP7SIS91ldX5bvrFx1l7","BagBak","Vince Staples","Big Fish Theory","1","11","160506","spotify:user:1162685727","2017-11-15T17:07:02Z"
"spotify:track:3wtgWxfOBqZ6LsAoMZSbDe","Anything","TOPS","Anything","1","1","194641","spotify:user:1162685727","2017-12-04T09:11:03Z"
"spotify:track:5BbNtqKsd4qFSFgJ1tCNqr","How We Do","Nosaj Thing, KAZU","Parallels","1","4","256079","spotify:user:1162685727","2017-12-04T09:11:30Z"
