﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1Rylwz6fFeJxxPnH650O96","YouWouldn'tLikeMeWhenI'mAngry","Thom Yorke","YouWouldn'tLikeMeWhenI'mAngry","1","1","313019","spotify:user:1162685727","2018-01-02T13:52:25Z"
"spotify:track:22AYLXUQSqKx0pwwB7yCBJ","s’vive","Bibio","Ambivalence Avenue","1","9","245906","spotify:user:1162685727","2018-01-02T13:52:23Z"
"spotify:track:0c0Z5agmnSibjIWjdZV6R1","IZ-US","Aphex Twin","Come To Daddy","1","8","177266","spotify:user:1162685727","2018-01-02T13:50:38Z"
"spotify:track:15saTDPknfiYnWWWwktxzg","Hiders","Burial","Rival Dealer","1","2","282567","spotify:user:1162685727","2018-01-02T13:50:53Z"
"spotify:track:2JDopmkp2chDYeSoRdaxpz","Lean On (feat. MØ & DJ Snake) - Demo Version","Major Lazer, MØ, DJ Snake","Major Lazer Presents: Give Me Future (Music From & Inspired by the Film)","1","6","207253","spotify:user:1162685727","2018-01-02T13:52:42Z"
