﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4nNSgSfqhtAQ9upuIp1QgM","Long Flight","Future Islands","In Evening Air","1","2","315440","spotify:user:1162685727","2017-09-28T12:40:42Z"
"spotify:track:5HIDMubnNEKafUHIrua0nq","Bookfiend (feat. Clams Casino) - Clams Casino Version","JJ DOOM, Clams Casino","Bookhead EP","1","8","173025","spotify:user:1162685727","2017-09-28T12:41:12Z"
"spotify:track:1goN1TN8DZDLRNizMciiho","Dent Jusay","Matt Martians, Syd, Steve Lacy","The Drum Chord Theory","1","9","157112","spotify:user:1162685727","2017-09-28T12:41:58Z"
"spotify:track:0edAABAPiclKnJmK5CTt7J","A Woman's Wisdom","Wild Nothing","Life of Pause","1","3","249480","spotify:user:1162685727","2017-09-28T12:42:18Z"
"spotify:track:5FdCinAy3O1jbqC3aMIxA0","Nancy From Now On","Father John Misty","Fear Fun","1","2","234160","spotify:user:1162685727","2017-09-28T12:42:52Z"
