﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1alqVpvDH6ogtLQtsjHBKu","Standing In The Middle Of The Field","Cut Copy","Haiku From Zero","1","1","331080","spotify:user:1162685727","2018-09-03T14:37:49Z"
"spotify:track:5VEci63QQ7qJ51ZbiFHsE0","If You Really Love Nothing","Interpol","If You Really Love Nothing","1","1","265640","spotify:user:1162685727","2018-09-03T14:37:56Z"
"spotify:track:5Vdrq1akDDxNMEybDvmBDa","Suspirium","Thom Yorke","Suspirium","1","1","201768","spotify:user:1162685727","2018-09-05T13:37:46Z"
"spotify:track:23buwmS8UCCvl4dAvSZ5aY","Girls on the TV","Laura Jean","Devotion","1","3","355626","spotify:user:1162685727","2018-09-13T10:54:01Z"
"spotify:track:6PQS6QahAFfkqx03mHOmkw","Beautiful Rain","Jude Woodhead","Beautiful Rain","1","1","347800","spotify:user:1162685727","2018-10-04T18:33:11Z"
