﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6wI3HgL3ngnELp8HSM5urC","What Hurts Worse","Iron & Wine","What Hurts Worse","1","1","180667","spotify:user:1162685727","2018-08-08T08:56:49Z"
"spotify:track:0aBsXZLJDvn0QWfcIqBXq8","Level Up (feat. Missy Elliott & Fatman Scoop) - Remix","Ciara, Missy Elliott, Fatman Scoop, Fanman Scoop","Level Up (feat. Missy Elliott & Fatman Scoop) [Remix]","1","1","229629","spotify:user:1162685727","2018-08-17T06:46:15Z"
"spotify:track:5zyySSTcBpXQ8gSbuONRH7","Parking Lot","Anderson .Paak","Malibu","1","8","234333","spotify:user:1162685727","2018-08-08T08:57:37Z"
"spotify:track:1xH3C10MTwvwRVf6jlgdH2","T69 collapse","Aphex Twin","T69 collapse","1","1","322840","spotify:user:1162685727","2018-08-08T10:12:23Z"
"spotify:track:2mrbFNKOnGLfdh5VXAU7fZ","Bunny's Dream - Daydream Edit","Matthew Dear","Bunny's Dream","1","3","266666","spotify:user:1162685727","2018-08-17T06:46:02Z"
