﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0b9oOr2ZgvyQu88wzixux9","This Is America","Childish Gambino","This Is America","1","1","225773","spotify:user:1162685727","2018-05-11T15:14:40Z"
"spotify:track:3uYDO9dPLTVrgfwg7EYXSf","Lift Yourself","Kanye West","Lift Yourself","1","1","147904","spotify:user:1162685727","2018-05-11T15:14:44Z"
"spotify:track:11xRCe6bPQ9fRhz70dqF9N","Happy Man","Jungle","Happy Man","1","1","190318","spotify:user:1162685727","2018-05-23T15:42:40Z"
"spotify:track:30SWIuMlFooe4MskKlejPQ","Ooo","!!!","As If","1","5","224275","spotify:user:1162685727","2018-05-31T14:52:20Z"
"spotify:track:67xLEPSyLCF1C15IIzmNd7","One Love (Edit)","The Prodigy","Music for the Jilted Generation","1","10","233466","spotify:user:1162685727","2018-05-31T14:52:51Z"
