﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0XzPOSdU6ONhEj5KyTjZ5D","Mongrel","Alex Cameron","Jumping the Shark","1","7","217493","spotify:user:1162685727","2018-01-12T16:07:13Z"
"spotify:track:12SJpYZEdj4kzWZ8FPFg4Y","All The Stars (with SZA)","Kendrick Lamar, SZA","All The Stars (with SZA)","1","1","235540","spotify:user:1162685727","2018-01-17T14:19:44Z"
"spotify:track:7DuqRin3gs4XTeZ4SwpSVM","In My View","Young Fathers","In My View","1","1","195445","spotify:user:1162685727","2018-01-19T09:54:09Z"
"spotify:track:3hvCH4s8js8MvXG3ci0Dcm","When Your Life Feels Like A Loss","De Lux","Generation","1","9","242840","spotify:user:1162685727","2018-01-25T17:17:54Z"
"spotify:track:2T24mi7nQ9ugOW5SdAjVij","Beyond Sight","Ital Tek","Hollowed","1","3","354773","spotify:user:1162685727","2018-02-01T09:02:43Z"
