﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4XrKpD8B1p9G07Ovm0n8Ns","Sisters","Dan Romer","Maniac (Music from the Netflix Limited Series)","1","22","198773","spotify:user:1162685727","2018-10-04T18:33:29Z"
"spotify:track:25FJ3Wsiv3woan4iN0fzYd","One of the Girls","Otha","One of the Girls","1","1","231671","spotify:user:1162685727","2018-10-25T08:46:10Z"
"spotify:track:2nLlXyJiiN0BvOVlKQvZ7n","Don't Delete The Kisses - Tourist Remix","Wolf Alice, Tourist","Don't Delete The Kisses (Tourist Remix)","1","1","330309","spotify:user:1162685727","2018-10-25T08:46:02Z"
"spotify:track:25GOzgUUaJfP7MhSk3MKnl","Them Is Us","Rival Consoles","Them Is Us","1","1","346171","spotify:user:1162685727","2018-10-25T08:45:48Z"
"spotify:track:1krJjodZxgpjs6luOlB9uO","That's Life","Frank Sinatra","That's Life","1","1","187040","spotify:user:1162685727","2018-10-25T08:46:38Z"
