﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0QLPakQl42Uqxk5Opnl8WK","Tints (feat. Kendrick Lamar)","Anderson .Paak, Kendrick Lamar","Who R U?","1","2","268400","spotify:user:1162685727","2018-11-13T14:07:50Z"
"spotify:track:3Eezd1ARGjpwwm1sJDrNQM","Getting by (Remix)","Tearjerker, KOOL A.D.","Getting by (Remix)","1","1","236283","spotify:user:1162685727","2018-11-27T09:44:58Z"
"spotify:track:2kgl1kVmiZ8tPhcrbwk65J","Keeping Txme","Selling, Gold Panda, Jas Shaw","On Reflection","1","6","286320","spotify:user:1162685727","2018-11-27T12:03:56Z"
"spotify:track:6mtnu7p8tkUzlDO3KOoaTY","Treasure","Sampha","Beautiful Boy (Original Motion Picture Soundtrack)","1","1","279643","spotify:user:1162685727","2018-12-03T09:32:46Z"
"spotify:track:4GDO5IRrGBB3jyIqU6XGgv","Believe","Felix Da Housecat, Jamie Principle, Clarian","Believe","1","4","452000","spotify:user:1162685727","2018-12-03T09:33:42Z"
