﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0dcKsPZVWa64MvnoCes49q","Light Years","The National","Light Years","1","1","213373","spotify:user:1162685727","2019-04-09T08:29:20Z"
"spotify:track:6FfJgMLtmXJTsc1ySvSf42","Queuejumper","The Divine Comedy","Queuejumper","1","1","187026","spotify:user:1162685727","2019-04-09T08:29:34Z"
"spotify:track:2XC3ZrY1UPHPlwFv7vcBPt","Hungry Child - Edit","Hot Chip","Hungry Child","1","1","208637","spotify:user:1162685727","2019-04-09T08:29:39Z"
"spotify:track:11uFqlWnAlFMeQmjHKY38X","Teenage Birdsong","Four Tet","Teenage Birdsong","1","1","205421","spotify:user:1162685727","2019-04-25T08:22:02Z"
"spotify:track:78YjMNvdFZeP6wahX1XLKu","IN GRAVITAS","Apparat","LP5","1","10","372888","spotify:user:1162685727","2019-04-25T08:30:12Z"
