﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0F4EoaMJmWNz8vS8tKgsqY","Dawn Chorus","Thom Yorke","ANIMA","1","4","323080","spotify:user:1162685727","2019-07-04T08:01:56Z"
"spotify:track:5SGNqhwXguf8tUnnO7METu","Without","Sampha","Dual","1","3","226380","spotify:user:1162685727","2019-07-15T08:17:35Z"
"spotify:track:6fBwVe6udYdnRqwqo06if8","I Would Die 4 U","Prince","Purple Rain","1","7","178986","spotify:user:1162685727","2019-07-04T08:02:18Z"
"spotify:track:5Hu24z7izB3LKi6pHaPq3C","Some Place Else","MorMor","Some Place Else","1","1","214885","spotify:user:1162685727","2019-07-04T08:01:58Z"
"spotify:track:2Os83Fjr9ixsIRLMiaGCnj","Heroes","Peter Gabriel","Stranger Things (Soundtrack from the Netflix Original Series)","1","27","243266","spotify:user:1162685727","2019-07-15T08:17:19Z"
