﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2X6gdRlGOQgfaXU9ALUQFQ","The Chain","Fleetwood Mac","Rumours","1","7","271000","spotify:user:1162685727","2019-08-13T08:16:01Z"
"spotify:track:2H7PHVdQ3mXqEHXcvclTB0","1999","Prince","1999","1","1","379266","spotify:user:1162685727","2019-08-28T07:47:25Z"
"spotify:track:0DEXx5i86W0pJmXhzW0l8x","Fuk Dat - Raw Mix","Sagat","Funk Dat(Why Is It?)","1","5","389466","spotify:user:1162685727","2019-08-13T08:16:24Z"
"spotify:track:3WrUwFdVmsQGJ15ytGFNw8","Serenade - Radio Edit","Tom Demac","Serenade","1","4","303408","spotify:user:1162685727","2019-08-13T08:16:15Z"
"spotify:track:2hzJd9GeZKffTvJtpSuKzZ","When the God of Love Returns There'll Be Hell to Pay","Father John Misty","Pure Comedy","1","8","244491","spotify:user:1162685727","2019-08-28T07:48:00Z"
