﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4iYRa2btalAzPZoSYfROqF","XXX. FEAT. U2.","Kendrick Lamar, U2","DAMN.","1","11","254200","spotify:user:1162685727","2019-12-19T10:20:45Z"
"spotify:track:2P0NiuAfypaw5UZJoo0n0o","It Might Be Time","Tame Impala","It Might Be Time","1","1","273013","spotify:user:1162685727","2020-01-02T11:31:30Z"
"spotify:track:22L2W5zBju0h7mFSfFzUJW","Strange Currencies","R.E.M.","Monster","1","6","233426","spotify:user:1162685727","2020-01-02T11:32:22Z"
"spotify:track:6e8qhqWzPgdPMFlOuP7nuC","Doot Doot","Freur","Doot Doot","1","1","243200","spotify:user:1162685727","2020-01-02T16:14:54Z"
"spotify:track:5lE1g5Qsi1stIjYh8O5FC1","Happy Holidays, You Bastard","blink-182","Take Off Your Pants And Jacket","1","4","42400","spotify:user:1162685727","2020-01-02T16:15:46Z"
