﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2drEUEg0TYQR6dDEHkpuPE","Patience","Tame Impala","Patience","1","1","292267","spotify:user:1162685727","2019-03-26T12:19:52Z"
"spotify:track:2vI5BiHgJjwfs95m4l3PXf","Coming Off","Busta Rhymes","Coming Off","1","1","225360","spotify:user:1162685727","2019-03-12T15:47:28Z"
"spotify:track:7snarIyI4gENjMZ2aLoMIF","So Slow","Yuno","Moodie","1","5","348480","spotify:user:1162685727","2019-03-26T12:20:58Z"
"spotify:track:0MHr827sRWEwzwjztYBtpe","Machete","Moby","Play","1","9","217733","spotify:user:1162685727","2019-03-07T09:37:30Z"
"spotify:track:663MrFKARaLWGG5xdYTDzY","Luminous Beings - Edit","Jon Hopkins","Luminous Beings (Edit)","1","1","199658","spotify:user:1162685727","2019-03-26T12:20:22Z"
